Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,Unnamed_9,Unnamed_10,Date
TVCL,560.0,8.55,565.90,505.90,505.90,"145,696",,,,,2024-12-15 01:55:11
UAIL,642.0,-1.83,667.00,641.00,645.00,"9,080",,,,,2024-12-15 01:55:11
UHEWA,736.0,-3.72,760.00,736.00,750.00,"29,885",,,,,2024-12-15 01:55:11
ULBSL,3107.0,-0.16,"3,165.00","3,103.00","3,103.00",270,,,,,2024-12-15 01:55:11
ULHC,517.0,-0.58,535.50,515.00,525.00,"69,440",,,,,2024-12-15 01:55:11
UMHL,340.0,-2.13,349.90,338.10,349.00,"101,988",,,,,2024-12-15 01:55:11
UMRH,650.0,-0.28,675.00,642.00,642.00,"202,991",,,,,2024-12-15 01:55:11
UNHPL,298.0,-2.61,310.10,294.00,310.10,"46,292",,,,,2024-12-15 01:55:11
UNL,47400.0,1.28,"47,400.00","47,400.00","47,400.00",10,,,,,2024-12-15 01:55:11
UNLB,2548.9,1.23,"2,722.00","2,471.00","2,471.00","6,030",,,,,2024-12-15 01:55:11
UPCL,288.5,-1.3,296.10,288.00,296.10,"128,250",,,,,2024-12-15 01:55:11
UPPER,210.5,-1.36,217.60,210.00,217.60,"149,444",,,,,2024-12-15 01:55:11
USHEC,610.0,-0.57,625.00,600.90,615.00,"27,250",,,,,2024-12-15 01:55:11
USHL,760.0,-1.8,780.20,760.00,760.00,"7,197",,,,,2024-12-15 01:55:11
USLB,1536.1,-2.16,"1,599.00","1,536.10","1,590.00","1,616",,,,,2024-12-15 01:55:11
VLBS,880.0,-1.86,914.60,872.00,900.00,"2,008",,,,,2024-12-15 01:55:11
VLUCL,703.7,1.69,722.00,693.00,693.00,"127,011",,,,,2024-12-15 01:55:11
WNLB,2590.0,-1.11,"2,600.00","2,530.00","2,600.00","1,256",,,,,2024-12-15 01:55:11
